00401000;start
00401010;operator_new
00401030;operator_delete
00401050;CDataStore__constructor
00401070;CDataStore__FetchWrite
004010D0;CDataStore__IsRead
004010E0;CDataStore__Reset
00401130;CDataStore__Finalize
00401140;CDataStore_GetInt8_2
00401170;CDataStore_GetInt_0
00401190;CDataStore_GetPosition
004011D0;SMem_ConstructArray
00401200;PatchFiles__qsortpatchfiles
00401220;delete
00401260;GxRsSet
00401280;Net_HandleNotification
00401390;Net_HandlePlayedTime
00401480;Net_HandleTransferPending
00401520;MovementInit
004015E0;CVar_MouseSpeed_Callback
00401600;CVar_Errors_Callback
00401650;CVar_ShowErrors_Callback
004016A0;Displaying
004017C0;CVar_ErrorLevelMin_Callback
00401800;CVar_ErrorLevelMax_Callback
00401840;PrintFilterMask
004018D0;except
00401A10;ErrorDisplayFilterCallback
00401A30;CVar_Gamma_Callback
00401A80;CVar_DesktopGamma_Callback
00401B00;CCommand_ReloadUI
00401B20;CVar_ScreenshotFormat_Callback
00401B40;CVar_ScreenshotQuality_Callback
00401B60;RegisterGlobalCVars
00401FD0;EnableCallback
00401FF0;componentTextureLevel
004020E0;Game_EventRegisterCallback
00402100;M2_GetOptimizationFlags
004021C0;CVar_M2Faster_Callback
00402210;CVar_M2FasterDebug_Callback
00402250;CVar_UIFaster_Callback
004022E0;CVar_ProcessAffinityMask_Callback
00402320;CVar_TextureCacheSize_Callback
004023C0;CVar_TextureFilteringMode_Callback
00402410;CVar_M2BatchDoodads_Callback
00402470;CVar_M2BatchParticles_Callback
004024D0;CVar_M2ForceAdditiveParticleSort_Callback
00402530;windowResizeLock
00402670;AsyncFileReadThreadSleepCallback
00402690;AsyncFileReadHandlerTimeoutCallback
004026B0;AsyncFileInitialize
00402720;Mem_AllocClient
00402740;Mem_FreeClient
00402760;M2UseZFill
00402910;WowClientDestroy
004029B0;product
00402A40;Client_GetExpansionLevel
00402A50;RetailInstallPath
00402AA0;File_BuildPath
00402B20;SetPaths
00402B90;Archive_VerifyCommonMPQ
00402D50;Locale_DetectAndSet
00402F60;signaturefile
004031C0;Command_ChainHandler
00403200;TimingMethodCallback
004032A0;CCommand_TimingInfo
00403300;CompareFunction
00403320;fcn
00403340;ClientIdle
00403370;EventSetTimer
00403380;ClientTimerSet
004033B0;ClientKillTimer
004033C0;ClientPostClose
004033E0;LogRealmInfo
00403460;LogObjectInfo
004034F0;SendErrorLog
00403560;InstallPath
00403600;StartupStreaming
004036B0;SpeedTest
00403720;VectorDestructorIterator
00403760;TArray_SetCapacity
004037F0;VSArchiveArray_SetCapacity
00403880;CDataStore_Release
004038A0;CDataStore__destructor
004038F0;ClntObjMgrGetActivePlayerObj
00403910;TRANSFER_ABORT_ERROR
00403B70;LoadNewWorld
00403D10;NetClient_HandleNewWorld
00403DE0;NetClient_HandleLoginVerifyWorld
00403EC0;CDataStore_InitPacket2
